KodLan,NamSek,Rank,Jenjang,SubJenjang,Status,PD,Kec,KotKab,Kota,Provinsi,Alamat
20220414,SMP KRISTEN TUNAS HARAPAN,,SMP,SMPK,Swasta,163,Bogor Selatan,Kota,BOGOR,Jawa Barat,
20220427,SMP KRISTEN YPK SATU BAKTI,,SMP,SMPK,Swasta,0,Bogor Tengah,Kota,BOGOR,Jawa Barat,
20100336,SMP KSATRYA,,SMP,SMPS,Swasta,293,Cempaka Putih,Kota,JAKARTA PUSAT,DKI Jakarta,
20107097,SMP Kuntum Wijaya Kusuma,,SMP,SMPS,Swasta,100,Ciracas,Kota,JAKARTA TIMUR 1,DKI Jakarta,
10000035,SMP KUPU KUPU,,SMP,SMPS,Swasta,0,Mampang Prapatan,Kota,JAKARTA SELATAN 2,DKI Jakarta,
20271516,SMP KURNIA,,SMP,SMPS,Swasta,312,Bogor Utara,Kota,BOGOR,Jawa Barat,
20231085,SMP KUSUMA BANGSA,,SMP,SMPS,Swasta,0,Ciomas,Kab,BOGOR 2,Jawa Barat,
20603532,SMP KUSUMA BANGSA,,SMP,SMPS,Swasta,0,Pasar Kemis,Kab,TANGERANG,Banten,
69849435,SMP KUSUMA BANGSA,,SMP,SMPS,Swasta,0,Cabangbungin,Kab,BEKASI,Jawa Barat,
20200577,SMP KUWWA KENCANA,,SMP,SMPS,Swasta,0,Citeureup,Kab,BOGOR 2,Jawa Barat,
69931929,SMP LA ROYBA ISLAMIC SCHOOL,,SMP,SMPS,Swasta,15,Cimanggis,Kota,DEPOK 2,Jawa Barat,
70036341,SMP LA TAKSAL PAKUHAJI,,SMP,SMPS,Swasta,0,Pakuhaji,Kab,TANGERANG,Banten,
70027071,SMP LA-TAKSAL,,SMP,SMPS,Swasta,41,Panongan,Kab,TANGERANG,Banten,
70001086,SMP LAB SCHOOL FIP UMJ,,SMP,SMPS,Swasta,0,Ciputat Timur,Kota,TANGERANG SELATAN,Banten,
20106976,SMP LAB SCHOOL KEBAYORAN,,SMP,SMPS,Swasta,648,Kebayoran Baru,Kota,JAKARTA SELATAN 2,DKI Jakarta,
20109293,SMP LABORATORIUM JAKARTA,,SMP,SMPS,Swasta,0,Duren Sawit,Kota,JAKARTA TIMUR 2,DKI Jakarta,
20253780,SMP LABS SCHOOL KAIZEN,,SMP,SMPS,Swasta,0,Gunung Putri,Kab,BOGOR 1,Jawa Barat,
20276415,SMP LABSCHOOL CIBUBUR,,SMP,SMPS,Swasta,673,Jati Sampurna,Kota,BEKASI,Jawa Barat,
70002943,SMP LABSCHOOL CIRENDEU,,SMP,SMPS,Swasta,542,Ciputat Timur,Kota,TANGERANG SELATAN,Banten,
20108987,SMP LABSCHOOL JAKARTA,,SMP,SMPS,Swasta,694,Pulo Gadung,Kota,JAKARTA TIMUR 2,DKI Jakarta,
69830524,SMP LABSCHOOL TANGERANG RAYA,,SMP,SMPS,Swasta,78,Teluk Naga,Kab,TANGERANG,Banten,
20106552,SMP LAGOA,,SMP,SMPS,Swasta,64,Koja,Kota,JAKARTA UTARA,DKI Jakarta,
20106831,SMP LAMAHOLOT,,SMP,SMPS,Swasta,106,Cengkareng,Kota,JAKARTA BARAT,DKI Jakarta,
20232522,SMP LAZUARDI,,SMP,SMPS,Swasta,102,Limo,Kota,DEPOK 1,Jawa Barat,
70025379,SMP LAZUARDI AL FALAH GIS,,SMP,SMPS,Swasta,0,Beji,Kota,DEPOK 2,Jawa Barat,
70035881,SMP Leaderss Khalid bin Walid,,SMP,SMPS,Swasta,0,Kembangan,Kota,JAKARTA BARAT,DKI Jakarta,
20106832,SMP Lemuel,,SMP,SMPS,Swasta,71,Kebon Jeruk,Kota,JAKARTA BARAT,DKI Jakarta,
69765049,SMP LENTERA HARAPAN,,SMP,SMPS,Swasta,0,Curug,Kab,TANGERANG,Banten,
20109393,SMP LENTERA INDONESIA JAKARTA,,SMP,SMPS,Swasta,0,Kebayoran Lama,Kota,JAKARTA SELATAN 1,DKI Jakarta,
20109517,SMP LENTERA KASIH,,SMP,SMPS,Swasta,72,Tanjung Priok,Kota,JAKARTA UTARA,DKI Jakarta,
69956986,SMP LILIN BANGSA,,SMP,SMPS,Swasta,53,Cilincing,Kota,JAKARTA UTARA,DKI Jakarta,
70009054,SMP LOGOS INDONESIA,,SMP,SMPS,Swasta,87,Bojong Gede,Kab,BOGOR 1,Jawa Barat,
20106834,SMP Maarif,,SMP,SMPS,Swasta,407,Grogol Petamburan,Kota,JAKARTA BARAT,DKI Jakarta,
69949391,SMP MAARIF ASSHIDDIQIYAH,,SMP,SMPS,Swasta,0,Cilamaya Kulon,Kab,KARAWANG,Jawa Barat,
20603533,SMP MABAD REMPOA,,SMP,SMPS,Swasta,0,Ciputat Timur,Kota,TANGERANG SELATAN,Banten,
20231087,SMP MADANI,,SMP,SMPS,Swasta,0,Ciampea,Kab,BOGOR 2,Jawa Barat,
20229067,SMP MADANI,,SMP,SMPS,Swasta,90,Cilodong,Kota,DEPOK 2,Jawa Barat,
69963596,SMP MADANI LEADERSHIP CENTER (MLC),,SMP,SMPS,Swasta,143,Rengasdengklok,Kab,KARAWANG,Jawa Barat,
20231088,SMP MADANIA,,SMP,SMPS,Swasta,133,Kemang,Kab,BOGOR 2,Jawa Barat,
20109386,SMP MADINA ISLAMIC SCHOOL,,SMP,SMPI,Swasta,190,Tebet,Kota,JAKARTA SELATAN 1,DKI Jakarta,
20615006,SMP MADINATUL ILMI,,SMP,SMPI,Swasta,0,Ciputat Timur,Kota,TANGERANG SELATAN,Banten,
20229060,SMP MADINATUL QUR AN,,SMP,SMPI,Swasta,110,Sawangan,Kota,DEPOK 1,Jawa Barat,
69858828,SMP MADINATULQURAN,,SMP,SMPI,Swasta,0,Jonggol,Kab,BOGOR 2,Jawa Barat,
